index,frequency,type
c3cc(OC)c(OC)cc3CC,136,atom
[N+]2,281,ionic
(C)CC,1286,atom
CCCCCOC(=O),80,functional_group
CC[N+],107,ionic
c3cc(OC)c(OC)cc3,415,atom
C2C,143,atom
c2ccc(OC)c(OC)c2,468,atom
)cc1OC,893,ring
.,3360,atom
O=S(=O),1121,functional_group
([O-]),2318,ionic
([O-],918,ionic
)c1ccccc1,2649,ring
CCc1,256,ring
ccn,490,atom
[nH]1,1568,ionic
[Ca,395,ionic
+2,1399,atom
CC(=O),2562,functional_group
CC(,1144,atom
C(=O)C(CC,229,functional_group
(C)N,397,atom
(C)C),2821,atom
[S@@+],18,ionic
=S,104,functional_group
cn,738,atom
(C)c1,1137,ring
CN(C)CCc1c[nH],200,ionic
c2ccc(O),342,atom
cc12,276,ring
O=C1CC,523,functional_group
[C@H](NC(=O)C,137,functional_group
c2ccccc2)C(=O)N,72,functional_group
CCCN(CCC)CC,176,atom
CN,3219,atom
Cc1ccc(C(=O)N,309,functional_group
)cc1,4629,ring
Nc1nc(N,174,ring
ncn(C,105,atom
)c2n1,390,ring
N#,931,atom
[C@@H]2C,692,ionic
N1C(=O),410,functional_group
2CC3CC,313,atom
(O)(C,485,atom
3)C1)C2,314,ring
O=C1,2551,functional_group
cc(CCN,225,atom
CCN(,3381,atom
c4n,213,atom
s,536,atom
c5ccccc45,135,atom
)CC3,404,atom
)c(Cl)cc2,151,atom
CCCCCCCC,924,atom
c1ccc2,692,ring
[B-](F)(F),7,ionic
[N+],335,ionic
1=C,69,functional_group
CC1=C,387,functional_group
\C,1332,atom
CCCC(=O)O,263,functional_group
(O)C1,141,ring
N=C(c2ccccc2,227,functional_group
cc(Cl)ccc2,623,atom
NC1=O,154,functional_group
CCC,1764,atom
N[C@@H](C,1120,ionic
c1cccc2ccccc1,19,ring
2)C(=O)O,159,functional_group
C[C@]12C,616,ionic
[C@H](O),3370,ionic
[C@H]3[C@@H](CC,366,ionic
C4=CC(=O)CC,284,functional_group
[C@]2(O),671,ionic
C(=O)CO,796,functional_group
C[C@]12CC[C@H]3,138,ionic
[C@H]([C@@H]1,113,ionic
[C@@H]1,6618,ionic
C[C@@H]1,1292,ionic
[C@H]1,4674,ionic
C1=CC(=O),122,functional_group
CC[C@@]1,196,ionic
3C,852,atom
[C@](N)(C,264,ionic
Clc1ccc(C,356,ring
Cl)C,309,atom
(Cl)Cl,738,atom
O=C(CC,618,functional_group
(O)(,754,atom
c2ccc(Cl)cc2),304,atom
c1ccc(F)cc1,1890,ring
Cc1cc(,860,ring
)cc(C)c1,251,ring
[C@]1,623,ionic
(N)C,265,atom
c(O)c2,149,atom
[C@@H](O,1160,ionic
[C@H]2C,2500,ionic
[C@H](O)[C@H](O),464,ionic
C3=O,93,functional_group
Oc1ccc(,443,ring
n2,1494,atom
c3ccc(O)cc3,312,atom
[C@@H](C)[C@@H](O),378,ionic
CCN(C),522,atom
CCCC(C,272,atom
#N),609,atom
)C(C)C,543,atom
C=CC,519,functional_group
[N@@+],86,ionic
2CC,552,atom
[C@@]34,102,ionic
c5ccccc5,60,atom
N5,186,atom
6/,6,atom
[C@H]7C,6,ionic
[C@H]8,34,ionic
[C@@]9,6,ionic
(CC=C)C,6,functional_group
7=C,6,functional_group
O),4242,atom
c7ccccc7,6,atom
(/,1061,atom
[C@@H](C,3503,ionic
[C@@H]3,1325,ionic
1)/,6,atom
C(=C,622,functional_group
O)C2,171,atom
[C@H]5,673,ionic
4),999,atom
[C@@H]6,452,ionic
9,210,atom
Cc2cc3,127,atom
c(CN,817,atom
(C)C)c(O),84,atom
ccc3,371,atom
nc2,866,atom
[C@@H]1CCCN1C(=O),285,functional_group
[C@@H]1CCCN1,39,ionic
[C@@H](,3217,ionic
[18F],34,ionic
CCC(C),802,atom
C(=O)NC(CC,234,functional_group
NC,2696,atom
S(=O)(=O)[O-],256,functional_group
C(C(=O)N,171,functional_group
C(CC,237,atom
C1CC,153,ring
NC(=O)C(C,112,functional_group
(C)O),66,atom
NC(=O)C(CC,134,functional_group
)NC(=O)C(CC,32,functional_group
)NC(=O)C,82,functional_group
(CC(C)C),32,atom
)NC1=O),51,functional_group
C(C),764,atom
Clc1ccc2c(c1,303,ring
)C(,184,atom
c1ccccc1),1081,ring
Cc1nn,385,ring
cn1,333,ring
C=C1,205,functional_group
Oc2cc(OC,51,atom
O[C@H]3,392,ionic
C[C@H](,112,ionic
[NH3+],328,ionic
)c4,379,atom
c(,2255,atom
c(Cl)c4,4,atom
)O,1286,atom
[C@@H]4,1183,ionic
c5,1118,atom
cc5,148,atom
C3,651,atom
=CC=C,76,functional_group
OC(C)(C),320,atom
[C@@H](O)[C@H]3,280,ionic
O)c2,669,atom
N=C1,394,functional_group
NC(=O),1497,functional_group
Cc1cc(O),423,ring
c2c(c1,720,ring
)OC,997,atom
(C)(C),759,atom
OC(Cn1cncn,260,ring
1)(C,260,atom
n1cncn,527,ring
F,1334,atom
[C@](C,403,ionic
c1ccc(Oc2ccccc2)cc1,33,ring
(C(=O)N,401,functional_group
O)C(F)(F)F,19,atom
CNC,440,atom
OCCO,990,atom
CCN1CCN(C,442,atom
ccc(Cl)cc2,570,atom
CO[C@H]1,940,ionic
O[C@@]2(C),693,ionic
Oc3c(C)c(O),693,atom
c(O)c(,565,atom
5CCN(C)CC5,259,atom
)c(O),1002,atom
c4c3C2=O),425,functional_group
\C=C\,794,functional_group
[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C),693,ionic
[C@H](OC,1874,ionic
C[C@H]1C,314,ionic
[C@H]2[C@@H]3CCC4,1215,ionic
[C@]2(C),984,ionic
[C@@]1(O),414,ionic
CNS(=O)(=O),202,functional_group
CCc1ccc2,56,ring
[nH]cc(C,64,ionic
3CCN(C)CC3,342,atom
CC(N)C,233,atom
CC(C)(C),805,atom
2=O,74,functional_group
COc1cc(,453,ring
cc(OC)c1O,130,ring
CCS,681,atom
CCCN1,439,atom
Cc1nccn1,160,ring
F)c(C,66,atom
(F)F)c2,35,atom
)cnn1,52,ring
Cl.,37,atom
C[C@H](CC,97,ionic
C(=O)NCC,220,functional_group
S(=O)(=O)O),502,functional_group
[C@H]1CC[C@H]2,100,ionic
[C@H]3[C@H](C,31,ionic
C),1371,atom
[C@@]1(C)CC,132,ionic
[C@@H](O),2380,ionic
[C@H]3O,159,ionic
Cc1o,147,ring
c2cc3,447,atom
c(cc2,173,atom
F)c,730,atom
c(C(=O)O),876,functional_group
S2,956,atom
C=CC(=O)N,262,functional_group
ncnc(Nc3cccc(Br)c3,26,atom
CCN1,1803,atom
C(=O)NC,240,functional_group
)C1=O,939,functional_group
CCOC(=O)C1=C(C),409,functional_group
=C(C(=O),928,functional_group
OC(C)C,528,atom
c1cccc(,1328,ring
[N+](=O)[O-])c1,827,functional_group
CN(C)CCCC,9,atom
SC(=N,22,functional_group
CCCCC,686,atom
[C@H](O)CC,423,ionic
c3cccc(,337,atom
OCC(=O)O),341,functional_group
c3C,227,atom
[C@H]1O,3119,ionic
O=C(N,1201,functional_group
CC1CCCCN1,39,ring
cc(OCC,84,atom
(F)(F)F),916,atom
OCC(F)(F)F,162,atom
2CCC(C,234,atom
)c3ccccc3,934,atom
)CC2)cc1,249,ring
NCC,949,atom
(CC(=O)O),697,functional_group
c1ccc(Cl)cc1,1174,ring
C(=O)N(C,317,functional_group
c2nn[nH]n2,207,ionic
)[C@H](C,240,ionic
CNCC,437,atom
c1ccccc1C,89,ring
Cc1ncsc1,22,ring
CCN1C,328,atom
[C@H](C(=O)N,1663,functional_group
(CCCN,139,atom
(C)C)C(=O)N,871,functional_group
)C,3319,atom
c3cccc4,468,atom
cc(c3,474,atom
4)C,624,atom
CC1(C)S[C@@H]2,364,ionic
[C@H](NC(=O)[C@H],127,functional_group
(NC(=O)N,65,functional_group
3CCN,74,atom
C3=O),160,functional_group
c3ccccc3)C(=O)N2,142,functional_group
[C@H]1C(=O)O,505,functional_group
[O-].,984,ionic
[Mg,1006,ionic
CC(=O)S,105,functional_group
CC(C,293,atom
c1ccccc1)C(=O)N,410,functional_group
CC(=O)OC,303,functional_group
NC(=O)c1,296,functional_group
cc(C(=O)O),434,functional_group
)cc2)c1,24,ring
c2ccc3,374,atom
cc(N,719,atom
(C)C)ccc3,9,atom
[n+]2C,18,ionic
)c(C)n1,29,ring
CCOC(=O)[C@H](CC,507,functional_group
c1ccccc1)N,1176,ring
[C@@H](C)C(=O)N1CCC[C@H]1,75,functional_group
CN(CC,468,atom
COC,602,atom
)S(=O)(=O),277,functional_group
c2sc(,83,atom
CC(C)NCC(O),811,atom
c(NC=O),148,functional_group
c2)cc1,201,ring
CCCCCC,715,atom
[C@H](,2573,ionic
[C@H](C)O),229,ionic
n1cnc2,153,ring
c(N)ncnc2,315,atom
CCN(CC)CC,522,atom
OC(=O)C,261,functional_group
c2ccc(N,1243,atom
)cc2)cc1,595,ring
Clc1cccc(Cl)c1,85,ring
NC1=N,424,functional_group
Cc1cc(C),58,ring
cc(NC(=O)C,10,functional_group
c2ccc(OC,144,atom
(C)(C)C(=O)O)cc2,10,functional_group
COc1c(O)ccc2,14,ring
[N+](=O)[O-],2318,functional_group
c(c1,207,ring
Cc1cc(N,133,ring
)c(C,910,atom
[n+]2,105,ionic
csc(CC,63,atom
[P@@](=O),638,functional_group
[C@H](C(=O),85,functional_group
O)[C@H](O),1098,ionic
c2ccc(O)cc2,765,atom
)o,458,atom
c2cc(O),116,atom
C#,649,atom
Cc1n,223,ring
c2cc(CN,27,atom
(C)c3,197,atom
ccc(C(=O)N,274,functional_group
[C@@H](CCC(=O)O)C(=O)O),263,functional_group
CC(C)OC(=O),63,functional_group
P(=O)(C,55,functional_group
O[C@H](C)C,859,ionic
OC(=O),521,functional_group
CC(C)c1n,535,ring
oc(N,6,atom
Oc3ccc(,137,atom
c4ccc(,137,atom
)nc3,113,atom
)CC2,1582,atom
)n1,1443,ring
CC(C)[C@H](NC(=O),55,functional_group
OCc1ccccc1),36,ring
[P@](=O),330,functional_group
[C@H](C(=O)O),649,functional_group
c1cccc(CN,58,ring
Cc1nc(N,316,ring
c3c(C)cccc3,272,atom
)s,426,atom
2CCN(CC,495,atom
O)CC2,300,atom
[NH+],140,ionic
CCC1,1503,ring
[C@@H](COC,29,ionic
[C@]23,607,ionic
CCC3,35,atom
Oc1cccc(,241,ring
O)c1,792,ring
c2cc(C,290,atom
nn2,170,atom
c2ccc(S,402,atom
CCCCCCC(=O),14,functional_group
Oc1ccc2c(c1,226,ring
)CC,2480,atom
[C@@H](OC(=O),517,functional_group
[C@@H]12,415,ionic
P(=O)(O)O,480,functional_group
NS(=O)(=O)c1ccc(C,121,functional_group
(=O)N,643,functional_group
c2cc(F)c(F)c(,12,atom
F)c2,539,atom
[Na+].,178,ionic
[Na,679,ionic
+,2519,atom
ncc1C(=O)N,115,functional_group
(F)(F)F)cc1,667,ring
CC(=O)Nc1n,18,functional_group
ccc(,363,atom
c2c(C)nc3,14,atom
ccccn2,47,atom
3)n1,48,ring
CN1[C@H]2CC,180,ionic
c1c[nH],211,ionic
cccc1,498,ring
3)C2,168,atom
CC(C)(,59,atom
CN(C)CC,792,atom
OC(,771,atom
[n+]1,152,ionic
CCCCCCCCCC,162,atom
c(C)cc(N,9,atom
NCC1,140,ring
[Si],214,ionic
CCCNC,52,atom
(C)C(=O)N,348,functional_group
CC(C)CCC[C@@H](C),45,ionic
[C@@H](C)C,937,ionic
CC1(C)O[C@@H]2,158,ionic
[C@@]3(CO,158,ionic
[C@@H]2O1,177,ionic
COc1ccc2c(,267,ring
O[C@H]3C,263,ionic
[C@H]4C(=O)N,278,functional_group
(C)CCCC,303,atom
[C@@H]5C,384,ionic
[C@@]5(C,266,ionic
